,Unnamed: 0,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
736,0,Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.42,0.36,3.32,0.59,0.59,0.71,0.6,0.8
738,0,Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.29,0.37,2.69,0.54,2.64,0.35,0.6,1.4
739,0,Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4
741,0,Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1
742,0,Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.89,0.37,3.64,0.63,1.9,0.52,0.5,0.2
743,0,Tim Elliott,"5' 7""",135 lbs.,"66""",Southpaw,"Dec 24, 1986",3.41,0.45,2.3,0.62,4.26,0.65,0.5,1.4
744,0,Efrain Escudero,"5' 9""",155 lbs.,"70""",Orthodox,"Jan 15, 1986",2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8
745,0,Neal Ewing,--,185 lbs.,--,,"Sep 30, 1985",2.27,0.6,1.93,0.48,5.0,0.62,0.0,0.0
746,0,Lisa Ellis,"5' 4""",115 lbs.,"62""",,"Nov 15, 1982",1.68,0.48,2.32,0.57,4.19,0.63,0.5,0.6
747,0,Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984",3.68,0.49,4.64,0.56,0.0,0.0,0.33,0.0
748,0,Marius Enache,"5' 11""",155 lbs.,--,,"Oct 16, 1975",1.71,0.34,0.66,0.84,3.94,1.0,0.0,3.9
749,0,Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
750,0,Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.82,0.45,4.85,0.45,0.55,0.4,0.1,0.0
751,0,Doug Evans,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980",1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6
752,0,Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0
753,0,Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.89,0.38,3.34,0.63,0.0,0.0,0.62,0.5
754,0,Jodie Esquibel,"5' 3""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.87,0.4,8.5,0.52,0.0,0.0,0.87,0.0
755,0,Scott Ettling,--,135 lbs.,--,,--,0.0,0.0,0.54,0.83,8.04,1.0,0.0,0.0
757,0,Sijara Eubanks,"5' 4""",125 lbs.,"67""",,"Apr 27, 1985",5.0,0.35,3.27,0.6,2.0,0.5,1.0,0.0
758,0,Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4
759,0,Dan Evensen,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",0.27,0.1,3.86,0.38,0.0,0.0,0.0,4.0
760,0,Eric Esch,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968",3.07,0.71,1.74,0.43,0.0,0.0,0.0,2.0
761,0,Julian Erosa,"6' 1""",145 lbs.,"75""",Southpaw,"Jul 31, 1989",4.9,0.52,4.86,0.46,1.68,0.6,0.75,1.1
762,0,Eddy Ellis,"5' 9""",170 lbs.,--,Orthodox,--,3.4,0.69,1.53,0.68,4.0,0.66,0.5,2.0
763,0,Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
764,0,Konstantin Erokhin,"5' 11""",230 lbs.,"73""",Orthodox,"Jan 31, 1983",1.07,0.36,1.83,0.47,0.0,0.0,0.7,0.0
766,0,Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0
768,0,Jordan Espinosa,"5' 6""",125 lbs.,"71""",Orthodox,"Nov 08, 1989",5.06,0.63,3.61,0.54,0.0,0.0,1.0,10.8
770,0,Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",8.27,0.68,8.76,0.44,0.0,0.0,1.0,0.0
771,0,Cody East,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988",4.15,0.43,7.32,0.4,3.97,1.0,0.16,0.0
772,0,Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1
773,0,Saul Elizondo,"5' 7""",135 lbs.,--,,"Jul 17, 1985",2.07,0.3,4.93,0.48,2.0,1.0,0.66,1.0
774,0,Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0
775,0,Jon Olav Einemo,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",2.15,0.52,3.05,0.52,1.73,0.55,0.43,0.0
776,0,Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,--,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6
778,0,Justin Eilers,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",1.78,0.3,6.56,0.47,0.0,0.0,0.0,0.0
779,0,Ramazan Emeev,"5' 10""",185 lbs.,"76""",Southpaw,"May 23, 1987",2.57,0.49,1.37,0.73,2.0,0.26,0.8,0.0
780,0,Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991",10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0
781,0,Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0
782,0,Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.43,0.38,2.76,0.61,2.07,0.47,0.86,0.4
783,0,Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987",4.97,0.37,3.7,0.61,1.14,0.27,0.66,0.0
784,0,Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9
786,0,Carla Esparza,"5' 1""",115 lbs.,"63""",,"Oct 10, 1987",2.48,0.38,2.69,0.58,3.92,0.36,0.57,0.5
787,0,Ben Earwood,"5' 8""",170 lbs.,--,Orthodox,--,0.5,0.55,0.2,0.33,3.0,1.0,0.0,0.0
789,0,Ross Ebanez,"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",0.74,0.5,0.74,0.62,3.7,1.0,0.0,0.0
790,0,Tom Erikson,"6' 3""",280 lbs.,--,Orthodox,--,0.94,0.47,1.87,0.25,4.68,0.6,1.0,6.2
791,0,Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",3.59,0.4,2.22,0.7,2.47,0.33,0.65,0.4
792,0,Ian Entwistle,"5' 5""",135 lbs.,"64""",Orthodox,"Nov 19, 1986",0.11,0.07,7.36,0.31,0.0,0.0,0.0,12.1
793,0,Leon Edwards,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.38,0.48,1.99,0.55,1.26,0.29,0.7,0.5
794,0,Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5
795,0,Chance Farrar,"5' 9""",145 lbs.,--,Southpaw,"Sep 11, 1975",0.81,0.22,2.21,0.67,3.02,1.0,0.0,0.0
796,0,Willamy Freire,"5' 8""",155 lbs.,--,,"Jul 28, 1987",1.53,0.37,0.93,0.62,0.5,1.0,0.73,0.0
797,0,Caros Fodor,"5' 9""",155 lbs.,"76""",Orthodox,"Jan 07, 1984",2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0
798,0,Mirko Cro Cop,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3
799,0,Keisuke Fujiwara,"5' 6""",139 lbs.,--,Switch,--,0.73,0.44,1.2,0.47,0.0,0.0,0.23,2.5
800,0,Anthony Figueroa,"5' 4""",135 lbs.,--,Orthodox,--,2.37,0.48,3.77,0.49,0.0,0.0,0.58,0.0
801,0,Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.04,0.34,3.78,0.53,3.15,0.5,1.0,3.1
802,0,Glaico Franca,"6' 0""",155 lbs.,"77""",,"Feb 28, 1991",2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3
803,0,Jesse Fujarczyk,"6' 4""",225 lbs.,--,Southpaw,"Jan 28, 1983",1.03,0.33,4.91,0.38,0.0,0.0,0.25,0.0
804,0,Joao Paulo Faria,"5' 9""",155 lbs.,--,,--,6.69,0.64,2.09,0.85,1.25,0.5,0.0,1.2
805,0,Luke Flores,"6' 0""",155 lbs.,--,Southpaw,"Mar 17, 1988",2.11,0.46,2.34,0.62,0.0,0.0,0.5,1.8
806,0,Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2
808,0,Brady Fink,"6' 0""",183 lbs.,--,Orthodox,--,1.69,0.41,1.69,0.61,3.63,0.25,0.0,3.6
809,0,Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9
811,0,Ian Freeman,"5' 11""",225 lbs.,--,Orthodox,"Nov 10, 1966",2.54,0.48,3.11,0.44,1.44,0.4,0.8,0.7
812,0,Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0
815,0,Kelly Faszholz,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985",4.01,0.48,3.61,0.52,0.0,0.0,0.44,0.0
816,0,Katsuaki Furuki,"6' 0""",168 lbs.,--,,"Nov 10, 1980",0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0
817,0,Donavon Frelow,"5' 7""",135 lbs.,--,Orthodox,"Jan 20, 1985",2.4,0.27,3.2,0.52,1.0,1.0,0.26,0.0
818,0,Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.66,0.41,2.51,0.65,1.59,0.31,0.6,0.9
819,0,Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0
820,0,Bibiano Fernandes,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980",2.91,0.4,2.02,0.72,3.97,0.53,0.77,0.6
822,0,Kevin Ferguson,"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1974",2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2
823,0,Kalindra Faria,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",2.12,0.51,1.56,0.48,0.84,0.5,0.2,0.8
824,0,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.9,0.37,3.64,0.55,2.91,0.45,0.67,0.1
826,0,Jon Fitch,"6' 0""",170 lbs.,"76""",Orthodox,"Feb 24, 1978",2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8
827,0,Clay French,"5' 7""",161 lbs.,--,Southpaw,"Oct 07, 1980",1.52,0.5,1.27,0.16,0.0,0.0,1.0,0.0
829,0,Maiquel Falcao,"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",1.67,0.55,0.53,0.86,1.0,1.0,0.71,3.0
830,0,Patricky Freire,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0
831,0,Zoila Frausto,"5' 4""",135 lbs.,--,Orthodox,--,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0
832,0,Bobby Flynn,--,170 lbs.,--,,--,0.38,0.25,0.77,0.0,0.0,0.0,0.0,0.0
836,0,Rich Franklin,"6' 1""",185 lbs.,"75""",Southpaw,"Oct 05, 1974",4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7
837,0,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8
838,0,Ricardo Funch,"5' 10""",170 lbs.,"76""",Southpaw,"Aug 14, 1980",2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0
839,0,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",4.38,0.39,3.69,0.63,1.13,0.29,0.25,0.9
840,0,Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",1.94,0.49,1.59,0.55,2.17,0.55,0.41,4.3
841,0,Masakatsu Funaki,"6' 0""",185 lbs.,--,Southpaw,"Mar 13, 1969",1.82,0.68,2.92,0.35,0.0,0.0,0.0,5.5
843,0,Claudionor Fontinelle,"5' 5""",185 lbs.,--,Orthodox,--,2.62,0.42,10.25,0.28,0.0,0.0,0.0,0.0
845,0,Megumi Fujii,"5' 3""",113 lbs.,--,,"Apr 26, 1974",2.4,0.42,0.0,1.0,0.0,0.0,0.0,12.0
846,0,John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3
847,0,Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",3.86,0.38,3.08,0.53,0.35,0.11,0.62,1.0
848,0,Don Frye,"6' 1""",219 lbs.,--,Orthodox,"Nov 23, 1965",2.87,0.64,3.57,0.37,0.91,0.57,0.45,0.7
849,0,Luiz Firmino,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982",1.23,0.5,1.22,0.51,3.86,0.45,0.2,0.9
850,0,Melinda Fabian,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987",4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0
851,0,Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6
852,0,Josh Ferguson,"5' 5""",125 lbs.,"66""",Orthodox,"May 13, 1988",2.13,0.43,4.18,0.32,0.59,0.11,0.54,0.0
853,0,Edward Faaloloto,--,155 lbs.,"70""",,"Jul 15, 1984",2.28,0.32,6.25,0.44,1.01,0.25,0.33,0.0
854,0,Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3
855,0,Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4
856,0,Gary Frazier,"6' 0""",245 lbs.,--,Orthodox,--,1.5,0.39,2.77,0.46,0.0,0.0,1.0,0.0
857,0,Ron Fields,"6' 2""",200 lbs.,--,Orthodox,"Nov 18, 1974",0.33,0.33,2.64,0.11,0.0,0.0,0.0,0.0
858,0,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.84,0.42,1.96,0.57,2.73,0.63,0.93,0.6
859,0,Paul Felder,"5' 11""",170 lbs.,"70""",Orthodox,"Apr 25, 1984",3.52,0.43,2.96,0.51,0.36,0.33,0.59,0.4
860,0,Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.2,0.71,0.77,0.5,8.0,0.72,1.0,0.0
861,0,Colin Fletcher,"6' 2""",155 lbs.,"78""",Orthodox,"Jan 08, 1983",3.1,0.34,2.97,0.62,0.0,0.0,0.27,0.0
862,0,Brandon Foxworth,"5' 11""",145 lbs.,--,Orthodox,"Apr 28, 1979",1.33,0.32,4.59,0.5,0.0,0.0,0.0,0.0
864,0,Matt Foki,"5' 7""",220 lbs.,--,Orthodox,--,0.0,0.0,3.37,0.56,0.0,0.0,0.0,0.0
865,0,Rafael Freitas,--,205 lbs.,--,Orthodox,--,2.0,0.29,8.0,0.51,11.25,0.5,0.0,0.0
866,0,Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
867,0,Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2
868,0,Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0
869,0,Kazuyuki Fujita,"6' 0""",235 lbs.,--,Orthodox,"Oct 16, 1970",1.05,0.49,1.99,0.52,2.78,0.36,0.85,0.6
870,0,Brodie Farber,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980",1.69,0.45,2.17,0.53,0.9,0.5,0.2,0.9
871,0,Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.09,0.42,3.48,0.64,0.64,0.42,0.76,1.6
872,0,Francisco France,"6' 0""",205 lbs.,--,,"Jan 21, 1983",0.54,0.33,3.51,0.27,0.0,0.0,0.0,6.1
873,0,Jan Finney,"5' 8""",135 lbs.,--,Orthodox,--,2.16,0.28,8.75,0.42,0.77,0.11,0.25,0.0
874,0,Spencer Fisher,"5' 7""",155 lbs.,"70""",Southpaw,"May 09, 1976",3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8
876,0,Paulo Filho,"5' 8""",185 lbs.,--,Southpaw,"May 24, 1978",1.86,0.48,1.67,0.66,2.4,0.32,0.42,1.6
877,0,Patricio Freire,"5' 5""",145 lbs.,"65""",,"Jul 07, 1987",2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6
878,0,Bryanna Fissori,"5' 4""",145 lbs.,--,,--,1.4,0.46,1.2,0.57,2.0,0.25,0.5,0.0
879,0,Rodney Faverus,"6' 0""",215 lbs.,--,Southpaw,--,2.3,0.53,1.6,0.54,4.5,1.0,0.25,0.0
880,0,Tony Fryklund,"6' 0""",185 lbs.,--,Orthodox,"Mar 26, 1971",3.49,0.39,6.5,0.43,0.0,0.0,0.66,0.5
882,0,Mike French,"5' 10""",145 lbs.,--,,"May 29, 1975",0.23,0.23,2.17,0.42,0.0,0.0,0.22,1.0
883,0,Ron Faircloth,"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979",0.39,0.4,8.9,0.42,0.0,0.0,0.0,0.0
885,0,Katsuhisa Fujii,"6' 0""",205 lbs.,--,Orthodox,"Aug 15, 1972",4.0,0.5,4.43,0.64,2.14,0.25,0.5,2.1
886,0,Mal Foki,"5' 7""",220 lbs.,--,Orthodox,--,2.86,0.14,14.29,0.54,0.0,0.0,0.0,0.0
888,0,Xavier Foupa-Pokam,"6' 1""",185 lbs.,--,Open Stance,"Jul 03, 1982",1.47,0.43,2.5,0.49,0.0,0.0,0.16,0.0
889,0,Alexandre Ferreira,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",2.57,0.6,8.14,0.42,0.0,0.0,0.0,0.0
891,0,Neil Grove,"6' 6""",265 lbs.,--,Orthodox,"Jan 18, 1971",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3
892,0,Justin Guthrie,"6' 1""",170 lbs.,--,,"Jan 19, 1981",0.16,0.33,3.74,0.14,2.44,0.25,0.0,4.9
893,0,Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9
894,0,Wilson Gouveia,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2
895,0,Thibault Gouti,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.01,0.42,4.48,0.49,1.77,0.8,0.82,0.4
896,0,Joe Giannetti,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
898,0,Zelg Galesic,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1979",4.86,0.62,0.61,0.66,1.3,1.0,0.2,1.3
899,0,Damian Grabowski,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0
900,0,Sam Greco,"6' 2""",205 lbs.,--,Orthodox,"May 03, 1967",2.4,0.75,1.33,0.53,0.0,0.0,0.25,1.0
901,0,Dave Galera,"5' 11""",135 lbs.,--,Orthodox,"Jan 12, 1978",1.67,0.69,0.53,0.33,0.0,0.0,0.14,2.0
902,0,Ralek Gracie,"6' 2""",210 lbs.,--,Orthodox,"Oct 04, 1985",1.61,0.46,1.05,0.55,2.5,0.75,0.0,1.7
903,0,Kendall Grove,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7
904,0,Willie Gates,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 21, 1987",1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4
906,0,Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7
907,0,Manvel Gamburyan,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7
909,0,Fabricio Guerreiro,"5' 10""",145 lbs.,--,,"Jul 24, 1990",1.87,0.31,2.2,0.67,2.0,0.5,0.0,0.0
910,0,Nandor Guelmino,"6' 3""",230 lbs.,"76""",,"Dec 20, 1975",3.62,0.56,3.16,0.33,0.0,0.0,0.42,0.0
911,0,Jason Gilliam,"6' 0""",170 lbs.,--,Orthodox,--,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0
913,0,Cesar Gracie,"5' 10""",181 lbs.,--,Orthodox,--,0.0,0.0,17.14,0.5,0.0,0.0,0.0,0.0
914,0,James Giboo,"5' 11""",170 lbs.,--,Orthodox,"Jan 06, 1978",1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0
916,0,Charlene Gellner,"5' 2""",125 lbs.,--,,--,2.01,0.42,3.24,0.43,0.0,0.0,0.0,1.7
917,0,Crosley Gracie,"5' 9""",190 lbs.,--,Orthodox,"Jul 18, 1979",1.69,0.37,1.54,0.6,3.46,0.85,0.5,0.6
918,0,Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",7.12,0.58,5.09,0.56,0.0,0.0,0.62,0.0
920,0,Marcos Galvao,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981",1.97,0.32,3.86,0.61,2.27,0.28,0.88,1.1
921,0,Ryan Gracie,"5' 9""",200 lbs.,--,Orthodox,"Aug 14, 1974",0.82,0.61,0.5,0.4,2.83,0.75,0.25,0.9
923,0,Horacio Gutierrez,"5' 10""",145 lbs.,"69""",,"Sep 15, 1990",0.86,0.26,2.91,0.46,0.0,0.0,0.5,0.0
924,0,Shannon Gugerty,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4
925,0,Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0
926,0,Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8
927,0,Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",3.18,0.48,2.13,0.63,1.43,0.26,0.67,1.9
928,0,Brian Geraghty,"5' 7""",155 lbs.,--,Orthodox,"Nov 04, 1980",0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0
929,0,Tom Gallicchio,"5' 10""",170 lbs.,"73""",Southpaw,"Sep 23, 1986",3.53,0.26,7.07,0.43,1.0,0.11,0.0,0.0
930,0,Rick Glenn,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",4.19,0.43,4.0,0.54,0.8,0.16,0.65,0.4
931,0,Michael Graves,"5' 10""",170 lbs.,"71""",,"Jan 08, 1991",1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4
932,0,Chris Guillen,"6' 0""",240 lbs.,--,Orthodox,"Dec 09, 1972",0.82,0.27,1.91,0.36,0.0,0.0,0.0,0.0
934,0,Brandon Girtz,"5' 7""",155 lbs.,--,,"Mar 06, 1985",2.5,0.6,1.92,0.47,5.76,1.0,1.0,0.0
936,0,Josh Grispi,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988",1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2
937,0,Daniel Gracie,"6' 2""",225 lbs.,--,Orthodox,--,1.9,0.38,1.33,0.59,0.36,1.0,0.8,2.1
939,0,Scott Graham,"6' 4""",185 lbs.,--,Orthodox,--,0.91,0.42,2.27,0.28,0.0,0.0,0.0,0.0
940,0,Joey Gambino,"5' 7""",145 lbs.,--,Orthodox,"Oct 26, 1988",2.47,0.35,2.53,0.51,0.0,0.0,0.42,0.8
941,0,Trevin Giles,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992",5.45,0.66,1.13,0.76,3.69,1.0,0.66,0.0
943,0,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.0,0.48,3.87,0.63,1.03,0.25,0.71,0.2
946,0,Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",4.5,0.42,3.08,0.67,0.31,0.5,0.63,0.3
947,0,John Gunther,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",1.8,0.38,3.93,0.47,8.0,0.42,0.0,0.0
948,0,Royce Gracie,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,0.41,1.13,0.37,0.0,0.0,0.66,0.8
949,0,Rolles Gracie,"6' 4""",242 lbs.,--,Orthodox,"Jul 14, 1978",2.3,0.32,3.38,0.55,2.3,0.1,0.0,0.0
950,0,Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",8.67,0.54,10.68,0.53,0.0,0.0,0.8,0.0
951,0,Alavutdin Gadjiev,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982",0.99,0.27,0.99,0.57,0.0,0.0,0.5,0.0
952,0,James Gray,"5' 9""",135 lbs.,--,Orthodox,"Oct 25, 1987",2.61,0.5,18.26,0.44,0.0,0.0,0.0,0.0
953,0,Fabian Gonzalez,"5' 10""",135 lbs.,--,,--,3.9,0.48,4.39,0.51,0.0,0.0,0.66,0.0
954,0,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4
956,0,Rodrigo Gracie,"6' 0""",183 lbs.,--,Orthodox,"Apr 11, 1975",1.34,0.51,0.86,0.46,1.49,0.5,0.75,0.4
957,0,John Gunderson,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0
